               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.035645,            0.011153,          0.00087314,              0.9016,              0.6695,             0.71289,             0.42692,             0.04428,            0.014509,           0.0092684,            0.004258,            0.004258,            0.004258
                 118,            0.035506,            0.011073,          0.00088348,             0.90242,             0.66947,             0.71339,               0.427,            0.044283,            0.014509,           0.0092652,           0.0042085,           0.0042085,           0.0042085
                 119,            0.035499,            0.011077,          0.00082391,             0.90286,             0.66901,             0.71305,             0.42707,            0.044291,            0.014511,           0.0092709,            0.004159,            0.004159,            0.004159
                 120,            0.035607,            0.011214,          0.00082504,             0.90313,             0.66942,             0.71331,             0.42725,            0.044292,             0.01451,           0.0092722,           0.0041095,           0.0041095,           0.0041095
                 121,             0.03535,            0.011204,          0.00082762,             0.90455,             0.66849,             0.71345,             0.42706,            0.044291,            0.014511,           0.0092849,             0.00406,             0.00406,             0.00406
                 122,            0.035342,            0.011094,          0.00085374,             0.87391,             0.67011,             0.71361,             0.42729,            0.044288,             0.01451,           0.0092897,           0.0040105,           0.0040105,           0.0040105
                 123,            0.035262,            0.011143,          0.00081355,               0.871,             0.67043,             0.71414,             0.42757,            0.044288,            0.014512,           0.0092936,            0.003961,            0.003961,            0.003961
                 124,            0.035114,             0.01113,          0.00080044,             0.90333,             0.67024,             0.71394,             0.42721,            0.044293,            0.014514,            0.009305,           0.0039115,           0.0039115,           0.0039115
                 125,            0.034943,            0.010976,          0.00077936,             0.90361,             0.66999,             0.71387,             0.42712,            0.044301,            0.014516,           0.0093062,            0.003862,            0.003862,            0.003862
                 126,            0.034911,            0.011034,          0.00077799,             0.90367,             0.67013,             0.71357,             0.42728,            0.044308,            0.014519,           0.0093004,           0.0038125,           0.0038125,           0.0038125
                 127,            0.034668,            0.010938,          0.00081021,             0.90334,             0.66978,             0.71252,             0.42718,            0.044316,            0.014521,           0.0093088,            0.003763,            0.003763,            0.003763
                 128,            0.034678,            0.010944,          0.00074808,             0.90317,             0.66982,             0.71292,             0.42725,            0.044322,            0.014524,           0.0093124,           0.0037135,           0.0037135,           0.0037135
                 129,             0.03479,            0.011007,          0.00079814,             0.90134,             0.66984,             0.71279,             0.42726,            0.044331,            0.014526,           0.0093161,            0.003664,            0.003664,            0.003664
                 130,            0.034599,            0.011048,          0.00078683,              0.9027,             0.67033,             0.71321,             0.42704,             0.04434,            0.014528,           0.0093223,           0.0036145,           0.0036145,           0.0036145
                 131,            0.034389,            0.010947,          0.00073749,             0.90258,             0.67014,             0.71261,             0.42706,            0.044349,             0.01453,           0.0093381,            0.003565,            0.003565,            0.003565
                 132,            0.034301,            0.011034,          0.00077184,             0.90248,             0.67004,             0.71288,             0.42718,            0.044354,            0.014531,           0.0093467,           0.0035155,           0.0035155,           0.0035155
                 133,            0.034493,            0.010802,          0.00078585,             0.90235,             0.67015,             0.71279,               0.427,            0.044355,            0.014533,           0.0093589,            0.003466,            0.003466,            0.003466
